dataset,model,sample_id,S,stable_at_0.05,stable_at_0.10,stable_at_0.15,stable_at_0.20,n_variants_used
MeetingBank,gemini-2.5-flash,43,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,44,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,45,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,46,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,47,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,48,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,49,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,50,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,51,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,52,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,53,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,54,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,55,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,56,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,57,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,58,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,59,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,60,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,61,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,62,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,63,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,64,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,65,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,66,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,67,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,68,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,69,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,70,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,71,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,72,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,73,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,74,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,75,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,76,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,77,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,78,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,79,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,80,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,81,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,82,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,83,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,84,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,85,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,86,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,87,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,88,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,89,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,90,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,91,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,92,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,93,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,94,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,95,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,96,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,97,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,98,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,99,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash,100,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,1,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,2,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,3,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,4,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,5,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,6,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,7,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,8,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,9,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,10,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,11,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,12,1.0,0,0,0,0,1
